folio	formula_type	n_tokens	ch_pct	ok_pct	ot_pct	cthol_n	cthal_n	ee_pct	coverage	plant_id	confidence
f35r	WARM	94	0.2447	0.0426	0.0745	1	0	0.0638	0.9787	UNIDENTIFIED	
f35v	PLAIN-AMBIG	90	0.2444	0.0556	0.0333	0	0	0.0778	1.0	UNIDENTIFIED	
f36r	WARM	62	0.129	0.0484	0.0645	2	0	0.0	1.0	UNIDENTIFIED	
f36v	WARM	76	0.1053	0.0526	0.1447	1	0	0.0	0.9868	UNIDENTIFIED	
f37r	WARM	78	0.0897	0.1154	0.141	1	0	0.0	1.0	UNIDENTIFIED	
f37v	WARM	89	0.1573	0.0225	0.1011	1	0	0.0225	1.0	ephedra	PROBABLE
f38r	TYPE-B	44	0.25	0.1591	0.0682	0	0	0.0	0.9773	UNIDENTIFIED	
f38v	TYPE-B	68	0.1765	0.1176	0.0441	0	0	0.1029	0.9853	UNIDENTIFIED	
f39r	TYPE-B	157	0.2102	0.0892	0.0191	0	0	0.0573	0.9873	ephedra	PROBABLE
f39v	TYPE-B	146	0.1164	0.137	0.0342	0	0	0.0274	1.0	UNIDENTIFIED	
f40r	TYPE-B	103	0.0874	0.2621	0.0097	0	0	0.0291	1.0	UNIDENTIFIED	
f40v	TYPE-B	105	0.1238	0.2667	0.0095	0	0	0.0667	1.0	cardamom	PROBABLE
f41r	TYPE-B	97	0.1856	0.2062	0.0515	0	0	0.1753	1.0	UNIDENTIFIED	
f41v	TYPE-B	66	0.0909	0.2121	0.0909	0	0	0.197	1.0	UNIDENTIFIED	
f42r	WARM	140	0.2857	0.0214	0.0643	2	0	0.0357	1.0	cardamom	PROBABLE
f42v	PLAIN-AMBIG	115	0.287	0.0696	0.0435	0	0	0.1043	1.0	UNIDENTIFIED	
f43r	HIGH-OT	153	0.1373	0.0523	0.1438	0	0	0.0719	0.9804	UNIDENTIFIED	
f43v	TYPE-B	151	0.2185	0.106	0.0993	0	0	0.106	0.9934	UNIDENTIFIED	
f44r	TYPE-B	74	0.0946	0.1081	0.1486	0	0	0.0946	1.0	UNIDENTIFIED	
f44v	WARM	100	0.09	0.06	0.12	3	1	0.03	1.0	cardamom	PROBABLE
f45r	COLD	89	0.0899	0.1011	0.0674	0	0	0.0112	1.0	UNIDENTIFIED	
